i m .	j ai ans .
i m ok .	je vais bien .
i m ok .	ca va .
i m fat .	je suis gras .
i m fat .	je suis gros .
i m fit .	je suis en forme .
i m hit !	je suis touche !
i m hit !	je suis touchee !
i m ill .	je suis malade .
i m sad .	je suis triste .
i m shy .	je suis timide .
i m wet .	je suis mouille .
i m wet .	je suis mouillee .
he s wet .	il est mouille .
i am fat .	je suis gras .
i m back .	je suis revenu .
i m back .	me revoila .
i m bald .	je suis chauve .
i m busy .	je suis occupe .
i m busy .	je suis occupee .
i m calm .	je suis calme .
i m cold .	j ai froid .
i m done .	j en ai fini .
i m fine .	tout va bien .
i m fine .	je vais bien .
i m fine .	ca va .
i m free !	je suis libre !
i m free .	je suis libre .
i m free .	je suis disponible .
i m full .	je suis repu !
i m full .	je suis rassasie !
i m glad .	je suis content .
i m home .	je suis chez moi .
i m late .	je suis en retard .
i m lazy .	je suis paresseux .
i m lazy .	je suis faineant .
i m lazy .	je suis paresseuse .
i m lazy .	je suis faineante .
i m okay .	je vais bien .
i m okay .	je me porte bien .
i m safe .	je suis en securite .
i m sick .	je suis malade .
i m sure .	j en suis certain .
i m sure .	je suis certain .
i m sure .	j en suis sur .
i m sure .	j en suis sure .
i m tall .	je suis grande .
i m thin .	je suis mince .
i m tidy .	je suis ordonne .
i m tidy .	je suis ordonnee .
i m ugly .	je suis laid .
i m ugly .	je suis laide .
i m weak .	je suis faible .
i m well .	je vais bien .
i m well .	je me porte bien .
he is ill .	il est malade .
he is old .	il est vieux .
he s a dj .	il est dj .
he s good .	il est bon .
he s lazy .	il est paresseux .
he s rich .	il est riche .
i am busy .	je suis occupe .
i am calm .	je suis calme .
i am cold .	j ai froid .
i am good .	je suis bon .
i am here .	je suis ici .
i am lazy .	je suis paresseux .
i am lazy .	je suis faineant .
i am lazy .	je suis paresseuse .
i am lazy .	je suis faineante .
i am okay .	je vais bien .
i am sick .	je suis malade .
i am sure .	je suis sur .
i am sure .	je suis certain .
i am weak .	je suis faible .
i m a cop .	je suis flic .
i m a man .	je suis un homme .
i m alone .	je suis seule .
i m alone .	je suis seul .
i m armed .	je suis arme .
i m armed .	je suis armee .
i m awake .	je suis reveille .
i m blind .	je suis aveugle .
i m broke .	je suis fauche .
i m crazy .	je suis fou .
i m crazy .	je suis folle .
i m cured .	je suis gueri .
i m cured .	je suis guerie .
i m drunk .	je suis saoul .
i m drunk .	je suis soul .
i m drunk .	je suis ivre .
i m dying .	je me meurs .
i m early .	je suis en avance .
i m first .	je suis en premier .
i m fussy .	je suis difficile .
i m fussy .	je suis tatillon .
i m fussy .	je suis tatillonne .
i m going .	je pars maintenant .
i m going .	je me tire .
i m going .	j y vais .
i m going .	je pars .
i m loyal .	je suis loyal .
i m loyal .	je suis loyale .
i m lucky .	je suis veinard .
i m lucky .	je suis veinarde .
i m lucky .	j ai du pot .
i m lucky .	je suis chanceux .
i m lucky .	je suis chanceuse .
i m lying .	je suis en train de mentir .
i m quiet .	je suis tranquille .
i m ready !	je suis prete !
i m ready !	je suis pret !
i m ready .	je suis pret .
i m right .	j ai raison .
i m sober .	je suis sobre .
i m sorry .	excuse moi .
i m sorry .	desole .
i m sorry .	desole !
i m sorry .	je suis desole .
i m sorry .	je suis desolee .
i m stuck .	je suis coincee .
i m timid .	je suis timide .
i m tired .	je suis fatigue !
i m tough .	je suis dur .
i m tough .	je suis dure .
i m tough .	je suis dur a cuire .
i m tough .	je suis dure a cuire .
i m yours .	je suis a toi .
i m yours .	je suis a vous .
she s hot .	elle est chaude .
she s hot .	elle est tres attirante .
we re hot .	nous avons chaud .
we re sad .	nous sommes tristes .
we re shy .	nous sommes timides .
he is a dj .	il est dj .
he is busy .	il a a faire .
he is here !	il est ici !
he is kind .	il est gentil .
he is late .	il est en retard .
he is lazy .	il est faineant .
he is lazy .	il est paresseux .
he is poor .	il est pauvre .
he is sick .	il est malade .
he s swiss .	il est suisse .
he s swiss .	il est helvete .
he s broke .	il est ruine .
he s broke .	il est fauche .
he s drunk .	il est ivre .
he s drunk .	il est soul .
he s smart .	il est intelligent .
i am a man .	je suis un homme .
i am human .	je suis humain .
i am ready .	je suis pret .
i am right .	j ai raison .
i am sorry .	je suis desole .
i am sorry .	je suis desolee .
i am tired .	je suis fatigue !
i am tired .	je suis creve .
i m french .	je suis francais .
i m korean .	je suis coreen .
i m a hero .	je suis un heros .
i m a liar .	je suis un menteur .
i m baking !	je cuis !
i m better .	je vais mieux .
i m buying .	je paie .
i m buying .	c est moi qui paie .
i m chubby .	je suis grassouillet .
i m chubby .	je suis grassouillette .
i m eating .	je mange .
i m famous .	je suis connu .
i m famous .	je suis connue .
i m faster .	je suis plus rapide .
i m flabby .	je suis flasque .
i m greedy .	je suis cupide .
i m greedy .	je suis gourmand .
i m greedy .	je suis gourmande .
i m hiding .	je me cache .
i m honest .	je suis honnete .
i m humble .	je suis humble .
i m hungry !	j ai faim !
i m hungry .	j ai faim !
i m immune .	je suis immunise .
i m immune .	je suis immunisee .
i m in bed .	je suis au lit .
i m in bed .	je suis alite .
i m in bed .	je suis alitee .
i m joking .	je rigole !
i m loaded .	je suis saoul .
i m lonely .	je me sens seul .
i m lonely .	je me sens seule .
i m losing .	je suis en train de perdre .
i m moving .	je suis en train de demenager .
i m normal .	je suis normal .
i m normal .	je suis normale .
i m paying .	c est moi qui paie .
i m paying .	je suis en train de payer .
i m pooped .	je suis creve .
i m rested .	je suis repose .
i m rested .	je suis reposee .
i m ruined .	je suis ruine .
i m ruined .	je suis ruinee .
i m shaken .	je suis remue .
i m shaken .	je suis remuee .
i m single .	je suis celibataire .
i m skinny .	je suis maigrichon .
i m skinny .	je suis maigrichonne .
i m sleepy !	je suis fatigue !
i m sleepy !	j ai sommeil !
i m sneaky .	je suis sournois .
i m sneaky .	je suis sournoise .
i m strict .	je suis strict .
i m strict .	je suis stricte .
i m strong .	je suis fort .
i m strong .	je suis forte .
i m thirty .	j ai trente ans .
i m wasted .	je suis affaiblie .
she is old .	elle est vieille .
she s busy .	elle est occupee .
she s nice .	elle est gentille .
we are men .	nous sommes des hommes .
we re back .	nous sommes de retour .
we re busy .	nous sommes occupes .
we re busy .	nous sommes occupees .
we re done .	nous avons fini .
we re done .	nous avons termine .
we re done .	nous en avons fini .
we re done .	nous en avons termine .
we re even .	nous sommes quittes .
we re fine .	nous allons bien .
we re here .	nous sommes ici .
we re here .	nous sommes la .
we re home .	nous sommes chez nous .
we re late .	nous sommes en retard .
we re lost .	nous sommes perdus .
we re lost .	nous sommes perdues .
we re rich .	nous sommes riches .
we re safe .	nous sommes en securite .
we re sunk .	on est foutu .
we re sunk .	nous sommes foutus .
we re weak .	nous sommes faibles .
you re bad .	tu es vilain .
you re big .	tu es grand .
you re big .	tu es grande .
you re big .	vous etes grand .
you re big .	vous etes grande .
you re big .	vous etes grands .
you re big .	vous etes grandes .
you re fun .	t es marrante .
you re fun .	t es marrant .
you re old .	tu es vieux .
you re old .	tu es vieille .
you re old .	vous etes vieux .
you re old .	vous etes vieilles .
you re old .	vous etes vieille .
you re sad .	tu es triste .
you re sad .	vous etes triste .
you re shy .	tu es timide .
you re shy .	vous etes timide .
he is drunk .	il est ivre .
he is drunk .	il est soul .
he is eight .	il a huit ans .
he is hated .	il est hai .
he is nasty .	il est mechant .
he is smart .	il est intelligent .
he is young .	il est jeune .
he s a hunk .	c est un beau mec .
he s a hunk .	c est un beau gosse .
he s a jerk .	c est un pauvre type .
he s a liar .	c est un menteur .
he s a nerd .	c est un binoclard .
he s a slob .	c est un flemmard .
he s asleep .	il est endormi .
he s coming .	il arrive .
he s coming .	il est en train d arriver .
he s crying .	il est en train de pleurer .
he s faking .	il simule .
he s loaded .	il est blinde .
he s loaded .	il est pete de thune .
he s loaded .	il est plein aux as .
he s my age .	il a mon age .
he s not in .	il n est pas chez lui .
he s not in .	il n est pas a l interieur .
he s not in .	il n est pas la .
i am french .	je suis francais .
i am korean .	je suis coreen .
i am a cook .	je suis cuisinier .
i am a monk .	je suis un moine .
i am better .	je vais mieux .
i am better .	je suis mieux .
i am coming .	j arrive .
i am hungry .	j ai faim !
i am joking .	je plaisante .
i am single .	je suis celibataire .
i am taller .	je suis plus grand .
i m too .	j ai egalement dix sept ans .
i m finnish .	je suis finlandais .
i m finnish .	je suis finlandaise .
i m italian .	je suis italien .
i m a baker .	je suis boulanger .
i m a baker .	je suis boulangere .
i m all set .	je suis tout a fait pret .
i m all set .	je suis tout a fait prete .
i m ashamed .	j ai honte .
i m at home .	je suis a la maison .
i m at home .	je suis dans la maison .
i m baffled .	je suis perplexe .
i m blessed .	je suis beni .
i m blessed .	je suis benie .
i m careful .	je suis prudent .
i m careful .	je suis prudente .
i m certain .	je suis sur .
i m certain .	je suis certain .
i m chicken .	j ai les foies .
i m chicken .	j ai les chocottes .
i m correct .	j ai raison .
i m curious .	je suis curieux .
i m curious .	je suis curieuse .
i m dancing .	je suis en train de danser .
i m dieting .	je suis au regime .
i m driving .	je suis en train de conduire .
i m driving .	je conduis .
i m engaged .	je suis fiance .
i m engaged .	je suis fiancee .
i m excited .	je suis excite .
i m excited .	je suis excitee .
i m fasting .	je fais la diete .
i m fasting .	je suis a la diete .
i m finicky .	je suis meticuleux .
i m finicky .	je suis meticuleuse .
i m frantic .	je suis affole .
i m frantic .	je suis affolee .
i m furious .	je suis furieux .
i m healthy .	je suis en bonne sante .
i m humming .	je fredonne .
i m in luck .	je suis veinard .
i m in luck .	je suis veinarde .
i m jealous .	je suis jalouse .
i m jittery .	j ai la frousse .
i m kidding .	je plaisante .
i m kidding .	je rigole !
i m leaving .	je pars .
i m married .	je suis marie .
i m married .	je suis mariee .
i m no fool .	je ne suis pas une idiote .
i m no hero .	je ne suis pas un heros .
i m no liar .	je ne suis pas un menteur .
i m not fat .	je ne suis pas gros .
i m not mad .	je ne suis pas fou .
i m not mad .	je ne suis pas folle .
i m not old .	je ne suis pas vieux .
i m not old .	je ne suis pas vieille .
i m not sad .	je ne suis pas triste .
i m not shy .	je ne suis pas timide .
i m on duty .	je suis en service .
i m patient .	je suis patiente .
i m patient .	je suis patient .
i m popular .	je suis populaire .
i m psyched .	je suis remonte .
i m psychic .	je suis voyant .
i m psychic .	je suis voyante .
i m puzzled .	je suis perplexe .
i m reading .	je lis .
i m relaxed .	je suis detendu .
i m relaxed .	je suis detendue .
i m retired .	je suis retraite .
i m retired .	je suis retraitee .
i m retired .	je suis pensionne .
i m retired .	je suis pensionnee .
i m selfish .	je suis egoiste .
i m serious .	je suis serieux .
i m shocked .	je suis choque .
i m shocked .	je suis choquee .
i m sincere .	je suis sincere .
i m sloshed .	je suis bourre .
i m sloshed .	je suis bourree .
i m so full .	je suis tellement rassasie .
i m starved .	je meurs de faim !
i m starved .	j ai l estomac dans les talons .
i m starved .	j ai la dalle .
i m starved .	j ai les crocs .
i m staying .	je reste .
i m stuffed .	je suis gave .
i m stuffed .	je suis gavee .
i m stunned .	je suis sidere .
i m stunned .	je suis sideree .
i m talking .	je suis en train de discuter .
i m teasing .	je taquine .
i m thirsty .	j ai soif .
i m through .	j en ai fini .
i m through .	j en ai termine .
i m too fat .	je suis trop gros .
i m touched .	je suis touche .
i m touched .	je suis touchee .
i m unhappy .	je suis mecontent .
i m unhappy .	je suis mecontente .
i m unlucky .	j ai la schcoumoune .
i m wealthy .	je suis fortune .
i m wealthy .	je suis fortunee .
i m winning .	je gagne .
i m winning .	je l emporte .
i m working .	je suis en train de travailler .
i m worried .	je me fais du souci .
she is curt .	elle n a pas de charme .
she is dead .	elle est morte .
she is kind .	elle est gentille .
she is late .	elle est en retard .
she s a dog .	c est une enfoiree .
she s a fox .	c est un renard .
they re bad .	ils sont mauvais .
they re bad .	elles sont mauvaises .
they re old .	ils sont vieux .
they re old .	elles sont vieilles .
we are even .	nous sommes quittes .
we are even .	nous sommes a egalite .
we are here .	nous sommes ici .
we are here .	nous y sommes .
we are late .	nous sommes en retard .
we re alone .	nous sommes seuls .
we re alone .	nous sommes seules .
we re angry .	nous sommes en colere .
we re armed .	nous sommes armes .
we re armed .	nous sommes armees .
we re bored .	nous nous ennuyons .
we re bored .	on s emmerde .
we re broke .	nous sommes fauches .
we re broke .	nous sommes fauchees .
we re broke .	on est fauches .
we re dying .	nous sommes en train de mourir .
we re early .	nous sommes en avance .
we re going .	nous y allons .
we re happy .	nous sommes heureux .
we re ready .	nous sommes pretes .
